"source_file","shared_relative_path","source_sha256","shared_sha256","transformation_status","transformed_columns","transformed_cell_count","source_original_modified","review_status","approval_status","application_status","promotion_status"
"CIK_BATCH_WRITE_DETAIL_20260729_171937.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/data/CIK_BATCH_WRITE_DETAIL_20260729_171937.csv","F93266EB14B6C5F0EEABE8D542F194041D7D57FD648C24604C6AC9E09AE2CAA8","0A825C177BCBDA40735DC84639DF2B1A69A09A607003BCB3FD0CDF2FAA78BD7A","LOCAL_PATH_REDACTED_SHARED_COPY","source_file_path","13","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"CIK_BATCH_WRITE_QA_20260729_171937.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/data/CIK_BATCH_WRITE_QA_20260729_171937.csv","FA9764B2B9B821CE9A927045E86356FD43BF1B138366A658B1ECF8C68D7F4587","FA9764B2B9B821CE9A927045E86356FD43BF1B138366A658B1ECF8C68D7F4587","BYTE_IDENTICAL_COPY","","0","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"CIK_BATCH_WRITE_SUMMARY_20260729_171937.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/data/CIK_BATCH_WRITE_SUMMARY_20260729_171937.csv","12D18D336034D0A273732B13CF85C545C3CB04E27B572F62D4BD231598C672E0","EDE60743D7D92578B7AB7BF3A1B4ABE1D2ED9EE670B5BC077507E6E56FD550DA","LOCAL_PATH_REDACTED_AND_PATH_HASH_SEMANTICS_CORRECTED","preflight_detail_path|preflight_summary_path|result_snapshot_path|judgment_snapshot_path","4","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"DATE_BATCH_WRITE_DETAIL_20260729_181248.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/data/DATE_BATCH_WRITE_DETAIL_20260729_181248.csv","EAA2024359D02236191F784550E527791714935F852A472FC21792823CA2A73C","EAA2024359D02236191F784550E527791714935F852A472FC21792823CA2A73C","BYTE_IDENTICAL_COPY","","0","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"DATE_BATCH_WRITE_QA_20260729_181248.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/data/DATE_BATCH_WRITE_QA_20260729_181248.csv","3B44FFF1F25BF9680D4F09831217A58DE358F1C5AB8EAE99180034A7B0B2DC1A","3B44FFF1F25BF9680D4F09831217A58DE358F1C5AB8EAE99180034A7B0B2DC1A","BYTE_IDENTICAL_COPY","","0","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"DATE_BATCH_WRITE_SUMMARY_20260729_181248.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/data/DATE_BATCH_WRITE_SUMMARY_20260729_181248.csv","A9BCAAFDB2BB70291F82BFA794941BF4F31DB20988CEB45AC5075DDEBAEF2BD7","70CFBF520FC192664ADFD74B27B0068D9E37F68464CB18F3D5E61789E8488792","LOCAL_PATH_REDACTED_AND_PATH_HASH_SEMANTICS_CORRECTED","preflight_detail_path|preflight_summary_path|date_ledger_path|result_snapshot_path|judgment_snapshot_path","5","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"SHA256SUMS.txt","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/controls/SOURCE_FREEZE_SHA256SUMS_ORIGINAL.txt","DBC0B24BA18742C366672D19DDA4578554AF1EF8F421A057A3B445694660E8CF","DBC0B24BA18742C366672D19DDA4578554AF1EF8F421A057A3B445694660E8CF","RENAMED_BYTE_IDENTICAL_SOURCE_HASH_RECORD","","0","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"SOURCE_EVIDENCE_REVIEW_JUDGMENT_TABLE_WORKING_NOT_APPROVED_NOT_PROMOTED.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/data/SOURCE_EVIDENCE_REVIEW_JUDGMENT_TABLE_WORKING_NOT_APPROVED_NOT_PROMOTED.csv","987FFC03398651D379D4CA5AE1562FECF3B97532DC5EC851F898EC13F1B467F2","F4FA335327059DF1F4FEE4AF6CBD0B2EA66B75FA17A6B0A7F3612DAEF3E9EEB1","LOCAL_PATH_REDACTED_SHARED_COPY","근거경로","42","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"USER_REVIEW_COMPLETION_CHECKPOINT.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/controls/USER_REVIEW_COMPLETION_CHECKPOINT.csv","488C9B0CBE1FE74AA21030E123CF2CB9CA02BAAEFD7A18974A4AF53372AED817","1BD69B9051C2FEC0EE6DC7D5393EFA13D4B682E6A6913EBDD8D5EEE7EA5E4AAE","LOCAL_PATH_REDACTED_AND_PATH_HASH_SEMANTICS_CORRECTED","freeze_directory","1","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
"USER_REVIEW_COMPLETION_FREEZE_MANIFEST.csv","handoff/stage14_3_kim_geun_hyung_review_shared_copy_20260729/controls/USER_REVIEW_COMPLETION_FREEZE_MANIFEST.csv","C17B720A9717B21B4AEBA78BF38BDE5A4F468C13F612101E395EDB63899EAEC4","187F43400297F750548CA145C1E3810C700DFE9F6E1CB3869613ECD6009112DB","LOCAL_PATH_REDACTED_AND_PATH_HASH_SEMANTICS_CORRECTED","source_path|frozen_path","16","NO","USER_REVIEW_COMPLETED","NOT_APPROVED","NOT_APPLIED","NOT_PROMOTED"
