"security_id","company_name","canonical_sha256","source_column","observed_value","occurrence_count","is_known_status"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","report_type","분기보고서","10","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","report_type","반기보고서","6","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","report_type","[정정]사업보고서","5","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","report_type","[정정]분기보고서","2","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","report_type","사업보고서","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","source_pair_status","PDF_ONLY","24","True"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","xbrl_cross_check_status","XBRL_ZIP_ABSENT_BY_DESIGN","24","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업]분기보고서_IFRS(원문XBRL)(2025.05.14).zip, 발견됨, 크기 778435 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업]분기보고서_IFRS(원문XBRL)(2025.11.13).zip, 발견됨, 크기 855129 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업]분기보고서_IFRS(원문XBRL)(2026.05.14).zip, 발견됨, 크기 872545 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업]분기보고서_IFRS(원문XBRL)(2023.11.13).zip, 발견됨, 크기 80545 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업][정정]분기보고서_IFRS(원문XBRL)(2024.05.17).zip, 발견됨, 크기 799919 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업]분기보고서_IFRS(원문XBRL)(2024.11.13).zip, 발견됨, 크기 805885 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업][정정]사업보고서_IFRS(원문XBRL)(2024.03.15).zip, 발견됨, 크기 1202910 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업][정정]사업보고서_IFRS(원문XBRL)(2025.08.14).zip, 발견됨, 크기 1250542 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업][정정]사업보고서_IFRS(원문XBRL)(2026.03.23).zip, 발견됨, 크기 1353432 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
"298040","효성중공업","079A4E00AA80D23AEA0D86C3CDD37DA22837D4AB0FAA1077F4772E51CC1F2EF7","anomaly_note_dart_xls_folder","주의: raw_files/dart_xls 폴더에 동일 보고서의 'IFRS(원문XBRL)' 명명 zip 파일이 존재함 ([효성중공업]사업보고서_IFRS(원문XBRL)(2021.03.10).zip, 발견됨, 크기 219175 bytes). 다만 원문 정리본 v0.1(00_안내 시트)과 298040_SOURCE_PAIR_STATUS.csv는 이 회사를 XBRL ZIP 없이 PDF_ONLY로 처리하도록 명시하고 있어, 본 작업에서는 지시된 설계대로 PDF_ONLY/XBRL 대조 제한 상태로 기록함. dart_xls 폴더 파일의 성격(실제 XBRL 원문 여부, 폴더명 오류 여부)은 본 작업 범위를 벗어나며 QA및누락점검 시트에 별도 특이사항으로 기록함.","1","False"
